,LR Accuracy,LR F1,NB Accuracy,NB F1
amazement,0.7827586206896552,0.0,0.7827586206896552,0.0
calmness,0.7551724137931034,0.0,0.7551724137931034,0.0
joyful,0.7137931034482758,0.1075268817204301,0.7,0.0
nostalgia,0.6,0.20547945205479454,0.5758620689655173,0.0
power,0.7206896551724138,0.547486033519553,0.7034482758620689,0.46913580246913583
sadness,0.7172413793103448,0.7248322147651006,0.7206896551724138,0.7254237288135592
solemnity,0.6724137931034483,0.04040404040404041,0.6724137931034483,0.0
tenderness,0.6931034482758621,0.5615763546798029,0.6241379310344828,0.32298136645962733
tension,0.6586206896551724,0.6147859922178989,0.6172413793103448,0.48372093023255813
